Line Item,2025-01-01,2024-01-01,2023-01-01,2022-01-01
Cash And Cash Equivalents,4500.0,4100.0,3500.0,2800.0
Short Term Investments,1200.0,1000.0,800.0,600.0
Receivables,1800.0,1650.0,1400.0,1200.0
Other Current Assets,500.0,450.0,400.0,350.0
Current Assets,8000.0,7200.0,6100.0,4950.0
Property Plant Equipment,3200.0,2800.0,2400.0,2000.0
Intangibles,800.0,800.0,800.0,800.0
Goodwill,600.0,600.0,600.0,600.0
Other Assets,400.0,300.0,250.0,200.0
Total Assets,13000.0,11700.0,10150.0,8550.0
Accounts Payable,800.0,750.0,700.0,650.0
Short Term Debt,500.0,500.0,500.0,500.0
Other Current Liabilities,700.0,650.0,600.0,550.0
Current Liabilities,2000.0,1900.0,1800.0,1700.0
Long Term Debt,2000.0,2000.0,2000.0,2000.0
Other Liabilities,400.0,350.0,300.0,250.0
Total Liabilities,4400.0,4250.0,4100.0,3950.0
Common Stock,1500.0,1500.0,1500.0,1500.0
Retained Earnings,7100.0,6450.0,5750.0,5100.0
Stockholders Equity,8600.0,7950.0,7250.0,6600.0
Total Liabilities Net Minority Interest,4400.0,4250.0,4100.0,3950.0
